ticker,name,day,price
0126Z0,삼성에피스홀딩스,1,531000
009150,삼성전기,1,434000
009155,삼성전기우,1,169200
005930,삼성전자,1,179700
005935,삼성전자우,1,126200
001360,삼성제약,1,1864
010140,삼성중공업,1,26000
016360,삼성증권,1,97600
068290,삼성출판사,1,9130
029780,삼성카드,1,55000
000810,삼성화재,1,443000
000815,삼성화재우,1,379500
006110,삼아알미늄,1,28850
0120G0,삼양바이오팜,1,142600
145990,삼양사,1,45700
145995,삼양사우,1,34800
003230,삼양식품,1,1183000
002170,삼양통상,1,59900
272550,삼양패키징,1,13600
000070,삼양홀딩스,1,70500
003720,삼영,1,7620
002810,삼영무역,1,19470
005680,삼영전자,1,16010
023000,삼원강재,1,2335
004380,삼익THK,1,9960
002450,삼익악기,1,1226
004440,삼일씨엔에스,1,10000
000520,삼일제약,1,10020
009770,삼정펄프,1,31700
005500,삼진제약,1,18540
004690,삼천리,1,147200
010960,삼호개발,1,4125
004450,삼화왕관,1,27900
009470,삼화전기,1,36700
011230,삼화전자,1,2550
001820,삼화콘덴서,1,56100
000390,삼화페인트,1,9800
001290,상상인증권,1,1178
041650,상신브레이크,1,2640
075180,새론오토모티브,1,3050
007540,샘표,1,54400
248170,샘표식품,1,28300
007860,서연,1,9640
200880,서연이화,1,13780
017390,서울가스,1,65100
031210,서울보증보험,1,53800
004410,서울식품,1,181
004415,서울식품우,1,1197
021050,서원,1,1214
008490,서흥,1,19330
007610,선도전기,1,3000
136490,선진,1,10390
014910,성문전자,1,1650
014915,성문전자우,1,4205
004980,성신양회,1,9470
004985,성신양회우,1,10900
011300,성안머티리얼스,1,304
000180,성창기업지주,1,1467
002420,세기상사,1,5360
004360,세방,1,15300
004365,세방우,1,9360
004490,세방전지,1,60500
001430,세아베스틸지주,1,69500
306200,세아제강,1,129200
003030,세아제강지주,1,191600
058650,세아홀딩스,1,157700
013000,세우글로벌,1,1275
021820,세원정공,1,15140
067830,세이브존I&C,1,3120
075580,세진중공업,1,17100
068270,셀트리온,1,206000
336370,솔루스첨단소재,1,9260
33637K,솔루스첨단소재1우,1,1991
33637L,솔루스첨단소재2우B,1,3280
248070,솔루엠,1,17010
004430,송원산업,1,9230
017550,수산세보틱스,1,1911
126720,수산인더스트리,1,26850
053210,스카이라이프,1,5090
204210,스타에스엠리츠,1,2035
026890,스틱인베스트먼트,1,9450
134790,시디즈,1,19150
462870,시프트업,1,32300
016590,신대양제지,1,13030
029530,신도리코,1,52000
004970,신라교역,1,9570
011930,신성이엔지,1,2565
004170,신세계,1,337000
035510,신세계 I&C,1,19860
031430,신세계인터내셔날,1,12410
031440,신세계푸드,1,49350
006880,신송홀딩스,1,7030
005800,신영와코루,1,15560
001720,신영증권,1,206000
009270,신원,1,1319
002700,신일전자,1,1390
002870,신풍,1,1183
019170,신풍제약,1,11030
019175,신풍제약우,1,17020
481850,신한글로벌액티브리츠,1,1091
404990,신한서부티엔디리츠,1,4450
293940,신한알파리츠,1,5780
055550,신한지주,1,93500
004080,신흥,1,13800
004770,써니전자,1,1663
403550,쏘카,1,11480
004920,씨아이테크,1,1083
112610,씨에스윈드,1,60200
480370,씨케이솔루션,1,2275
308170,씨티알모빌리티,1,5140
008700,아남전자,1,1592
090430,아모레퍼시픽,1,144400
090435,아모레퍼시픽우,1,48850
002790,아모레퍼시픽홀딩스,1,29350
00279K,아모레퍼시픽홀딩스3우C,1,24500
002795,아모레퍼시픽홀딩스우,1,12480
002030,아세아,1,278500
183190,아세아시멘트,1,11240
002310,아세아제지,1,8780
012170,아센디오,1,1288
267850,아시아나IDT,1,10630
020560,아시아나항공,1,7060
122900,아이마켓코리아,1,7510
010780,아이에스동서,1,26900
031820,아이티센씨티에스,1,746
139990,아주스틸,1,3010
009320,아진전자부품,1,1030
001780,알루코,1,2120
018250,애경산업,1,15300
161000,애경케미칼,1,11400
011090,에넥스,1,427
137310,에스디바이오센서,1,8130
005850,에스엘,1,59800
010580,에스엠벡셀,1,2010
012750,에스원,1,87200
023960,에쓰씨엔지니어링,1,1507
298690,에어부산,1,1870
140910,에이리츠,1,3130
078520,에이블씨엔씨,1,13340
015260,에이엔피,1,672
007460,에이프로젠,1,337
003060,에이프로젠바이오로직스,1,305
244920,에이플러스에셋,1,10510
278470,에이피알,1,327000
450080,에코프로머티,1,73400
019490,엑시큐어하이트론,1,541
036570,엔씨소프트,1,230000
085310,엔케이,1,1087
900140,엘브이엠씨홀딩스,1,1657
066970,엘앤에프,1,155300
097520,엠씨넥스,1,22100
484870,엠앤씨솔루션,1,103200
014440,영보화학,1,4680
111770,영원무역,1,81800
009970,영원무역홀딩스,1,222500
003520,영진약품,1,1789
000670,영풍,1,59700
012280,영화금속,1,1038
012160,영흥,1,573
007310,오뚜기,1,359500
002630,오리엔트바이오,1,628
271560,오리온,1,134500
001800,오리온홀딩스,1,25200
005320,온타이드,1,525
011690,와이투솔루션,1,5760
316140,우리금융지주,1,33600
006980,우성,1,20950
017370,우신시스템,1,5750
105840,우진,1,24400
010400,우진아이엔에스,1,3755
049800,우진플라임,1,2555
016880,웅진,1,2720
095720,웅진씽크빅,1,1166
005820,원림,1,15480
008600,윌비스,1,2620
033270,유나이티드제약,1,20700
014830,유니드,1,84000
446070,유니드비티플러스,1,3025
000910,유니온,1,4390
047400,유니온머티리얼,1,1622
011330,유니켐,1,725
077500,유니퀘스트,1,6110
002920,유성기업,1,1951
000700,유수홀딩스,1,6670
003470,유안타증권,1,5000
003475,유안타증권우,1,4705
072130,유엔젤,1,5300
000220,유유제약,1,4350
000225,유유제약1우,1,4425
000227,유유제약2우B,1,10710
001200,유진투자증권,1,4960
000100,유한양행,1,100400
000105,유한양행우,1,87800
003460,유화증권,1,3720
003465,유화증권우,1,3635
008730,율촌화학,1,23950
008250,이건산업,1,3955
025820,이구산업,1,4785
214320,이노션,1,18180
088260,이리츠코크렙,1,4870
139480,이마트,1,100000
457190,이수스페셜티케미컬,1,94400
007660,이수페타시스,1,110500
005950,이수화학,1,7980
015020,이스타코,1,464
074610,이엔플러스,1,5110
102460,이연제약,1,10080
084680,이월드,1,1578
350520,이지스레지던스리츠,1,3680
334890,이지스밸류플러스리츠,1,4100
000760,이화산업,1,15090
014990,인디에프,1,741
101140,인바이오젠,1,10220
006490,인스코비,1,241
023800,인지컨트롤스,1,6760
034590,인천도시가스,1,26950
129260,인터지스,1,2460
023810,인팩,1,7990
249420,일동제약,1,30250
000230,일동홀딩스,1,10560
013360,일성건설,1,1864
003120,일성아이에스,1,23250
003200,일신방직,1,12150
007110,일신석재,1,1518
007570,일양약품,1,12970
007575,일양약품우,1,12480
008500,일정실업,1,2785
081000,일진다이아,1,13390
020760,일진디스플,1,902
103590,일진전기,1,75100
271940,일진하이솔루스,1,15880
015860,일진홀딩스,1,7080
226320,잇츠한불,1,10170
317400,자이에스앤디,1,4220
033240,자화전자,1,36250
000950,전방,1,35700
079900,전진건설로봇,1,53600
348950,제이알글로벌리츠,1,1574
194370,제이에스코퍼레이션,1,11700
030000,제일기획,1,19830
271980,제일약품,1,14220
001560,제일연마,1,10940
002620,제일파마홀딩스,1,8730
006220,제주은행,1,12810
089590,제주항공,1,5160
004910,조광페인트,1,4980
004700,조광피혁,1,70300
001550,조비,1,15050
462520,조선내화,1,13900
120030,조선선재,1,99300
018470,조일알미늄,1,1216
002600,조흥,1,146200
185750,종근당,1,91700
063160,종근당바이오,1,19410
001630,종근당홀딩스,1,49850
109070,주성코퍼레이션,1,1319
044380,주연테크,1,384
013890,지누스,1,10820
013870,지엠비코리아,1,5070
071320,지역난방공사,1,79400
088790,진도,1,2535
003780,진양산업,1,5530
010640,진양폴리,1,2495
100250,진양홀딩스,1,3000
051630,진양화학,1,2290
272450,진에어,1,6320
011000,진원생명과학,1,971
002780,진흥기업,1,953
002787,진흥기업2우B,1,7900
002785,진흥기업우B,1,3445
025620,차AI헬스케어,1,9180
009310,참엔지니어링,1,1065
000650,천일고속,1,221000
033250,체시스,1,974
035720,카카오,1,48800
323410,카카오뱅크,1,24650
377300,카카오페이,1,53500
006380,카프로,1,3660
279570,케이뱅크,1,6270
001620,케이비아이동국실업,1,660
029460,케이씨,1,31450
281820,케이씨텍,1,48800
381970,케이카,1,14190
145270,케이탑리츠,1,904
417310,코람코더원리츠,1,9690
357120,코람코라이프인프라리츠,1,4560
007815,코리아써우,1,19800
007810,코리아써키트,1,84000
00781K,코리아써키트2우B,1,14130
003690,코리안리,1,13330
192820,코스맥스,1,205000
044820,코스맥스비티아이,1,16190
005070,코스모신소재,1,51700
005420,코스모화학,1,15400
071950,코아스,1,1726
002020,코오롱,1,69800
138490,코오롱ENP,1,15000
003070,코오롱글로벌,1,10800
003075,코오롱글로벌우,1,16080
002025,코오롱우,1,30000
120110,코오롱인더,1,80000
120115,코오롱인더우,1,28200
021240,코웨이,1,73500
036420,콘텐트리중앙,1,6040
024720,콜마홀딩스,1,9180
192400,쿠쿠홀딩스,1,28300
284740,쿠쿠홈시스,1,24350
264900,크라운제과,1,8350
26490K,크라운제과우,1,8930
005740,크라운해태홀딩스,1,6750
005745,크라운해태홀딩스우,1,7480
259960,크래프톤,1,254500
020120,키다리스튜디오,1,3260
039490,키움증권,1,435000
014580,태경비케이,1,4520
015890,태경산업,1,4860
006890,태경케미컬,1,9180
003240,태광산업,1,1177000
011280,태림포장,1,2205
004100,태양금속,1,3095
004105,태양금속우,1,3915
009410,태영건설,1,1837
009415,태영건설우,1,5870
001420,태원물산,1,2845
055490,테이팩스,1,15830
078000,텔코웨어,1,17190
214420,토니모리,1,6990
019180,티에이치엔,1,8300
217590,티엠씨,1,20800
363280,티와이홀딩스,1,2785
36328K,티와이홀딩스우,1,4050
091810,티웨이항공,1,1125
004870,티웨이홀딩스,1,357
034230,파라다이스,1,17830
005690,파미셀,1,16920
036580,팜스코,1,3220
004720,팜젠사이언스,1,3815
028670,팬오션,1,4900
010820,퍼스텍,1,7140
016800,퍼시스,1,37750
001020,페이퍼코리아,1,634
090080,평화산업,1,910
010770,평화홀딩스,1,3900
022100,포스코DX,1,30550
058430,포스코스틸리온,1,45900
047050,포스코인터내셔널,1,74500
003670,포스코퓨처엠,1,209000
017810,풀무원,1,12110
103140,풍산,1,91700
005810,풍산홀딩스,1,35350
950210,프레스티지바이오파마,1,10280
009810,플레이그램,1,1064
086790,하나금융지주,1,110400
293480,하나제약,1,9470
039130,하나투어,1,41450
352820,하이브,1,307000
071090,하이스틸,1,3445
000080,하이트진로,1,16730
000087,하이트진로2우B,1,13960
000140,하이트진로홀딩스,1,9070
000145,하이트진로홀딩스우,1,11680
152550,한국ANKOR유전,1,296
036460,한국가스공사,1,35400
005430,한국공항,1,56700
071050,한국금융지주,1,220000
071055,한국금융지주우,1,163400
010040,한국내화,1,1915
025540,한국단자,1,78700
010100,한국무브넥스,1,4595
004090,한국석유,1,16730
002200,한국수출포장,1,2900
002960,한국쉘석유,1,480000
000240,한국앤컴퍼니,1,26900
123890,한국자산신탁,1,2840
015760,한국전력,1,43900
006200,한국전자홀딩스,1,1020
027970,한국제지,1,799
023350,한국종합기술,1,4690
025890,한국주강,1,1780
000970,한국주철관,1,6750
104700,한국철강,1,9180
017960,한국카본,1,40500
161890,한국콜마,1,80200
161390,한국타이어앤테크놀로지,1,58000
034830,한국토지신탁,1,1710
007280,한국특강,1,1441
047810,한국항공우주,1,186500
123690,한국화장품,1,8300
003350,한국화장품제조,1,45900
011500,한농화성,1,21000
002390,한독,1,10750
053690,한미글로벌,1,26100
042700,한미반도체,1,275500
008930,한미사이언스,1,38400
128940,한미약품,1,549000
009240,한샘,1,42900
020000,한섬,1,26000
003680,한성기업,1,5060
105630,한세실업,1,12200
069640,한세엠케이,1,607
016450,한세예스24홀딩스,1,4920
009180,한솔로지스틱스,1,2915
213500,한솔제지,1,8600
014680,한솔케미칼,1,273000
004710,한솔테크닉스,1,4880
004150,한솔홀딩스,1,3420
025750,한솔홈데코,1,548
004960,한신공영,1,14880
011700,한신기계,1,4450
001750,한양증권,1,27100
001755,한양증권우,1,26700
018880,한온시스템,1,3940
009420,한올바이오파마,1,63300
014130,한익스프레스,1,2650
300720,한일시멘트,1,16530
002220,한일철강,1,3710
003300,한일홀딩스,1,18240
051600,한전KPS,1,59000
052690,한전기술,1,157000
130660,한전산업,1,19140
002320,한진,1,19060
003480,한진중공업홀딩스,1,4890
180640,한진칼,1,117200
18064K,한진칼우,1,34500
005110,한창,1,1254
009460,한창제지,1,626
372910,한컴라이프케어,1,2390
000880,한화,1,111500
00088K,한화3우B,1,45600
452260,한화갤러리아,1,2490
45226K,한화갤러리아우,1,6690
451800,한화리츠,1,5110
489790,한화비전,1,80500
088350,한화생명,1,4720
000370,한화손해보험,1,6770
009830,한화솔루션,1,35650
009835,한화솔루션우,1,22550
272210,한화시스템,1,124100
012450,한화에어로스페이스,1,1335000
082740,한화엔진,1,46650
042660,한화오션,1,123200
003530,한화투자증권,1,7190
003535,한화투자증권우,1,9100
195870,해성디에스,1,54200
101530,해태제과식품,1,6360
143210,핸즈코퍼레이션,1,1199
000720,현대건설,1,149800
000725,현대건설우,1,66400
453340,현대그린푸드,1,16080
086280,현대글로비스,1,231500
064350,현대로템,1,184200
079430,현대리바트,1,6960
012330,현대모비스,1,408500
069960,현대백화점,1,84500
004560,현대비앤지스틸,1,15820
004310,현대약품,1,9160
017800,현대엘리베이터,1,87100
307950,현대오토에버,1,394000
