종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"004255","NPC우","2500","30","1.21","2470","2530","2420","11821","29441235","13200000000","5280000"
"456040","OCI","93800","-400","-0.42","93600","94700","89600","27153","2516753350","839744031000","8952495"
"010060","OCI홀딩스","178800","-4500","-2.45","179800","183900","170900","151405","26632958750","3338237481600","18670232"
"178920","PI첨단소재","24150","-1200","-4.73","26600","26800","23400","902010","22175587050","709196676300","29366322"
"001340","PKC","6840","80","1.18","6660","6990","6440","315319","2112265725","307241903880","44918407"
"005490","POSCO홀딩스","343000","500","0.15","335500","343000","327000","276285","92752660500","27760002536000","80932952"
"010950","S-Oil","109700","-2600","-2.32","112500","112500","105100","408328","43896569800","12350332282400","112582792"
"010955","S-Oil우","53900","-100","-0.19","54800","54800","51700","25114","1328223700","216781865300","4021927"
"034120","SBS","16250","-150","-0.91","16170","16260","16030","17130","276803160","301457617500","18551238"
"003080","SB성보","2615","0","0.00","2600","2630","2595","13816","35929947","52352300000","20020000"
"005090","SGC에너지","66500","3500","5.56","62600","68000","61800","147147","9650247300","958220644500","14409333"
"001380","SG글로벌","1341","-11","-0.81","1340","1365","1316","143899","192064775","60296915763","44964143"
"004060","SG세계물산","525","8","1.55","510","543","504","3186807","1664218131","106273104000","202424960"
"001770","SHD","17190","-140","-0.81","17330","17330","17000","274","4683260","20883752820","1214878"
"002360","SH에너지화학","405","-12","-2.88","422","425","395","3475690","1410729874","45009160650","111133730"
"009160","SIMPAC","4985","80","1.63","4890","5060","4720","104131","511414340","325874275480","65370968"
"033530","SJG세종","7700","-50","-0.65","7630","7750","7440","111654","846422075","214221399700","27820961"
"123700","SJM","3620","35","0.98","3540","3625","3535","33404","120037225","56489730760","15604898"
"025530","SJM홀딩스","3645","25","0.69","3585","3645","3580","37460","135725245","54434459160","14934008"
"034730","SK","334000","-2500","-0.74","326000","335500","315500","108664","35489673250","24215902802000","72502703"
"011790","SKC","98700","600","0.61","96000","98700","93900","126598","12165974250","3737601012600","37868298"
"018670","SK가스","246500","0","0.00","246500","250500","240000","23870","5865665000","2278952646000","9245244"
"001740","SK네트웍스","5360","100","1.90","5370","5420","5080","984764","5156584170","1186049554720","221277902"
"006120","SK디스커버리","54100","-1300","-2.35","53800","54200","52900","45135","2411792000","942083929100","17413751"
"006125","SK디스커버리우","40100","50","0.12","39550","40200","39550","3108","124164750","49391370500","1231705"
"210980","SK디앤디","12980","-60","-0.46","13040","13240","12760","69899","902690590","241653618360","18617382"
"395400","SK리츠","6490","160","2.53","6300","6500","6140","433639","2788039235","1953604353800","301017620"
"302440","SK바이오사이언스","43200","550","1.29","42000","43200","41500","75398","3199690475","3388379083200","78434701"
"326030","SK바이오팜","100300","5600","5.91","103500","103700","96300","513839","51039575500","7854818975000","78313250"
"402340","SK스퀘어","544000","-14000","-2.51","528000","549000","521000","616056","331120880000","71855390560000","132087115"
"361610","SK아이이테크놀로지","21650","600","2.85","20750","21750","20100","263164","5557237975","1770690715000","81787100"
"100090","SK오션플랜트","26850","-1850","-6.45","27050","27100","26300","1927097","51622938000","1677537763650","62478129"
"03473K","SK우","252500","-2000","-0.79","254500","254500","242000","2174","538951500","142949087500","566135"
"096770","SK이노베이션","111400","100","0.09","109500","111400","106300","310314","33872874450","18832480583200","169052788"
"096775","SK이노베이션우","69100","300","0.44","68800","69300","66900","2962","201043850","86266236600","1248426"
"475150","SK이터닉스","52400","-1400","-2.60","55100","56100","52000","1434052","76922448900","1768711800800","33754042"
